"advertiser_id","campaign_id","date","time","timezone","datetime_utc","name.x","budget","name.y"
11354,99870,"01/11/2018","00:05:00","UTC","01/11/2018 00:05:00","Christmas cheer",15000,"Coco Cola"
11354,99870,"02/11/2018","23:00:00","Eastern time","02/11/2018 18:00:00","Christmas cheer",15000,"Coco Cola"
11354,99870,"05/11/2018","20:30:00","Eastern time","05/11/2018 15:30:00","Christmas cheer",15000,"Coco Cola"
11354,99870,"02/11/2018","09:00:00","Pacific time","02/11/2018 01:00:00","Christmas cheer",15000,"Coco Cola"
34523,55112,"05/11/2018","17:50:00","Eastern time","05/11/2018 12:50:00","Q4 performance",250000,"Lever Brows"
34523,55112,"03/11/2018","06:50:00","UTC","03/11/2018 06:50:00","Q4 performance",250000,"Lever Brows"
34523,55112,"03/11/2018","16:35:00","UTC","03/11/2018 16:35:00","Q4 performance",250000,"Lever Brows"
34523,55112,"05/11/2018","16:30:00","UTC","05/11/2018 16:30:00","Q4 performance",250000,"Lever Brows"
34523,55112,"02/11/2018","04:30:00","UTC","02/11/2018 04:30:00","Q4 performance",250000,"Lever Brows"
34523,55112,"05/11/2018","19:25:00","UTC","05/11/2018 19:25:00","Q4 performance",250000,"Lever Brows"
73453,56444,"02/11/2018","02:35:00","Pacific time","01/11/2018 18:35:00","Run of network",1000,"Ninetendo"
73453,56444,"02/11/2018","10:10:00","Pacific time","02/11/2018 02:10:00","Run of network",1000,"Ninetendo"
73453,56444,"04/11/2018","23:00:00","Pacific time","04/11/2018 15:00:00","Run of network",1000,"Ninetendo"
73453,56444,"05/11/2018","15:45:00","Pacific time","05/11/2018 07:45:00","Run of network",1000,"Ninetendo"
